CMDLINE python3 partTwo_efficent.py
MEM 2.000000 1702307309.4406
MEM 28.050781 1702307309.5409
MEM 24.789062 1702307309.6412
MEM 24.789062 1702307309.7415
MEM 24.789062 1702307309.8418
MEM 24.914062 1702307309.9421
